epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,262.295,1.26685,2.54636,1.60733,0.36165,0.28942,0.26026,0.11985,1.65503,3.27756,2.201,0.000546984,0.000546984,0.000546984
2,565.88,1.28841,2.17566,1.62642,0.42458,0.39963,0.34167,0.14896,1.638,3.18062,2.33132,0.00108082,0.00108082,0.00108082
3,879.148,1.30819,2.02183,1.63056,0.26963,0.49872,0.27503,0.12911,1.66766,3.54195,2.58161,0.00159265,0.00159265,0.00159265
4,1116.22,1.31178,1.89376,1.61646,0.3318,0.44188,0.2735,0.10545,2.01152,3.1828,2.66541,0.00156798,0.00156798,0.00156798
5,1343.82,1.3174,1.85552,1.60038,0.38004,0.53546,0.39281,0.16856,1.67717,2.88954,2.36844,0.00153497,0.00153497,0.00153497
6,1585.97,1.30148,1.82924,1.578,0.33164,0.58255,0.4043,0.19233,1.47931,2.4802,2.12716,0.00150197,0.00150197,0.00150197
7,1829.98,1.30358,1.72759,1.59396,0.41845,0.54243,0.41289,0.21368,1.55382,2.48742,2.22323,0.00146896,0.00146896,0.00146896
8,2117.46,1.25344,1.62255,1.5541,0.57711,0.67957,0.63972,0.37609,1.34186,1.89761,1.93514,0.00143595,0.00143595,0.00143595
9,40073.6,1.20406,1.54173,1.52746,0.51952,0.64598,0.60935,0.34307,1.43032,1.83005,2.11455,0.00140295,0.00140295,0.00140295
10,40292.2,1.15942,1.46828,1.4971,0.68124,0.54551,0.58947,0.36397,1.31505,1.7684,1.93414,0.00136994,0.00136994,0.00136994
11,40505.3,1.16187,1.47146,1.47874,0.51215,0.55674,0.53184,0.2942,1.53783,2.05789,2.16738,0.00133693,0.00133693,0.00133693
12,40736.5,1.15451,1.37876,1.4675,0.49323,0.55162,0.52829,0.29164,1.4915,1.86695,2.18009,0.00130393,0.00130393,0.00130393
13,40935.1,1.13623,1.3137,1.47624,0.62866,0.58709,0.61228,0.33142,1.43681,1.87449,1.98162,0.00127092,0.00127092,0.00127092
14,41442.1,1.12587,1.28935,1.44265,0.5688,0.63319,0.62779,0.37577,1.45773,1.69862,2.10802,0.00123791,0.00123791,0.00123791
15,41642.2,1.10976,1.26639,1.43332,0.71222,0.62333,0.70667,0.47195,1.2668,1.58367,1.77401,0.00120491,0.00120491,0.00120491
16,41851,1.10745,1.23538,1.43147,0.63107,0.76704,0.75558,0.45497,1.21368,1.31504,1.77909,0.0011719,0.0011719,0.0011719
17,42064.8,1.06303,1.17123,1.39169,0.68744,0.71689,0.7482,0.4651,1.20344,1.36809,1.79651,0.00113889,0.00113889,0.00113889
18,42284.2,1.0199,1.12009,1.36316,0.74148,0.64513,0.78092,0.49853,1.1811,1.30776,1.77984,0.00110589,0.00110589,0.00110589
19,42482,1.05967,1.13198,1.39144,0.67018,0.6446,0.69715,0.46128,1.19452,1.38844,1.79416,0.00107288,0.00107288,0.00107288
20,42687.7,1.04317,1.11441,1.37695,0.75061,0.77142,0.81879,0.51364,1.24791,1.18851,1.7855,0.00103987,0.00103987,0.00103987
21,42899.7,1.02996,1.04774,1.36659,0.80962,0.6779,0.75995,0.50081,1.21176,1.28516,1.78185,0.00100687,0.00100687,0.00100687
22,43090,1.00974,1.04732,1.34933,0.78265,0.73207,0.79721,0.50385,1.16838,1.23853,1.72296,0.000973861,0.000973861,0.000973861
23,43282.4,0.95082,0.94968,1.31263,0.82983,0.73397,0.80356,0.54614,1.15085,1.13126,1.72272,0.000940855,0.000940855,0.000940855
24,43470,0.96144,0.95456,1.30845,0.68935,0.82368,0.78543,0.5249,1.1887,1.18621,1.78592,0.000907848,0.000907848,0.000907848
25,43676.4,0.97115,0.95854,1.31606,0.7808,0.75377,0.83,0.55134,1.13395,1.04814,1.75691,0.000874842,0.000874842,0.000874842
26,43914.5,0.96466,0.9352,1.32775,0.81565,0.64583,0.77998,0.51253,1.14269,1.14977,1.74427,0.000841835,0.000841835,0.000841835
27,44141.5,0.94031,0.90811,1.30579,0.79234,0.72143,0.80666,0.53278,1.1651,1.21842,1.77694,0.000808828,0.000808828,0.000808828
28,44359.6,0.94237,0.90245,1.30757,0.78382,0.7784,0.83231,0.55847,1.162,1.04393,1.73467,0.000775822,0.000775822,0.000775822
29,44586.7,0.954,0.91778,1.301,0.7586,0.80004,0.83955,0.59378,1.02842,1.05508,1.62213,0.000742815,0.000742815,0.000742815
30,44780.6,0.87559,0.88,1.26645,0.80447,0.7894,0.83028,0.56043,1.14991,1.0725,1.72468,0.000709809,0.000709809,0.000709809
31,44973.1,0.89271,0.84424,1.25608,0.71302,0.82193,0.82234,0.58794,1.08847,1.02828,1.69891,0.000676802,0.000676802,0.000676802
32,45187.8,0.86925,0.81412,1.25031,0.73481,0.8158,0.80468,0.5366,1.22764,1.11015,1.87314,0.000643795,0.000643795,0.000643795
33,45385.5,0.8976,0.82735,1.26979,0.75834,0.76217,0.81159,0.54062,1.24814,1.09009,1.83789,0.000610789,0.000610789,0.000610789
34,45640.1,0.8659,0.8028,1.24925,0.81498,0.78654,0.81402,0.54563,1.20155,1.04514,1.84227,0.000577782,0.000577782,0.000577782
35,45897.2,0.84103,0.78217,1.21585,0.84759,0.79676,0.84477,0.58392,1.12449,0.91487,1.80788,0.000544776,0.000544776,0.000544776
36,46125.2,0.81889,0.76381,1.21829,0.7693,0.81304,0.85479,0.59253,1.12573,0.91029,1.74846,0.000511769,0.000511769,0.000511769
37,46343.6,0.84118,0.77541,1.21901,0.8024,0.83058,0.8505,0.58214,1.13765,0.95611,1.77264,0.000478762,0.000478762,0.000478762
38,46546.7,0.81115,0.74042,1.21751,0.8074,0.8462,0.85683,0.57366,1.15077,0.99405,1.76376,0.000445756,0.000445756,0.000445756
39,46740.6,0.78758,0.72877,1.19304,0.82287,0.7894,0.86249,0.58335,1.10945,0.95019,1.70915,0.000412749,0.000412749,0.000412749
40,46941.5,0.83798,0.74189,1.23661,0.74563,0.8158,0.85062,0.60711,1.04376,0.93627,1.68248,0.000379743,0.000379743,0.000379743
41,47136.2,0.68651,0.70008,1.25566,0.75479,0.79233,0.82237,0.56407,1.11412,1.07127,1.78989,0.000346736,0.000346736,0.000346736
42,47359.8,0.60837,0.56702,1.22213,0.81901,0.78721,0.86405,0.61324,1.07167,0.95899,1.6947,0.000313729,0.000313729,0.000313729
43,47585.2,0.59631,0.55275,1.19538,0.82482,0.856,0.8885,0.61134,1.07698,0.8836,1.7171,0.000280723,0.000280723,0.000280723
44,47872.6,0.60825,0.52584,1.20264,0.7756,0.84358,0.85942,0.61693,1.00481,0.92194,1.62766,0.000247716,0.000247716,0.000247716
45,48148.4,0.60382,0.50511,1.19001,0.80393,0.79161,0.84834,0.5826,1.06694,0.99345,1.72514,0.00021471,0.00021471,0.00021471
46,48380.5,0.54229,0.47964,1.14698,0.86318,0.75887,0.84841,0.59517,1.06938,0.94661,1.74752,0.000181703,0.000181703,0.000181703
47,48597.1,0.55459,0.49794,1.15858,0.82521,0.7614,0.83979,0.5946,1.07906,0.93763,1.77051,0.000148696,0.000148696,0.000148696
48,48794.3,0.52259,0.44823,1.13005,0.80112,0.79452,0.85553,0.61342,1.05767,0.91819,1.71066,0.00011569,0.00011569,0.00011569
49,49029.8,0.50656,0.44667,1.10706,0.84592,0.79888,0.86296,0.6039,1.05031,0.92667,1.70914,8.26832e-05,8.26832e-05,8.26832e-05
50,49275.7,0.51685,0.4369,1.10804,0.78376,0.81718,0.85738,0.6062,1.055,0.90882,1.7205,4.96766e-05,4.96766e-05,4.96766e-05
